Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,,MULTIPLE_CHOICE,Thông tin cá nhân / Khuynh hướng tính dục
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,Thông tin cá nhân / Thông tin khác
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,Thông tin tài chính / Thông tin thanh toán của người dùng
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,Thông tin tài chính / Nhật ký mua hàng
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,Thông tin tài chính / Điểm tín dụng
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,Thông tin tài chính / Thông tin tài chính khác
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,true,MULTIPLE_CHOICE,Vị trí / Vị trí ước chừng
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,Vị trí / Vị trí chính xác
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,Hoạt động duyệt web / Nhật ký duyệt web
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,,MULTIPLE_CHOICE,Thông báo / Email
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,,MULTIPLE_CHOICE,Thông báo / SMS hoặc MMS
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,,MULTIPLE_CHOICE,Thông báo / Thông báo khác trong ứng dụng
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,,MULTIPLE_CHOICE,Ảnh và video / Ảnh
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,,MULTIPLE_CHOICE,Ảnh và video / Videos
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,,MULTIPLE_CHOICE,Tệp âm thanh / Bản ghi âm thanh hoặc giọng nói
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,Tệp âm thanh / Tệp nhạc
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,,MULTIPLE_CHOICE,Tệp âm thanh / Tệp âm thanh khác
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,,MULTIPLE_CHOICE,Sức khỏe và thể dục / Thông tin về sức khoẻ
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,Sức khỏe và thể dục / Thông tin về hoạt động thể dục
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,,MULTIPLE_CHOICE,Danh bạ / Danh bạ
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,,MULTIPLE_CHOICE,Lịch / Sự kiện trên lịch
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,,MULTIPLE_CHOICE,Thông tin và hiệu suất của ứng dụng / Nhật ký sự cố
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,,MULTIPLE_CHOICE,Thông tin và hiệu suất của ứng dụng / Thông tin chẩn đoán
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,,MULTIPLE_CHOICE,Thông tin và hiệu suất của ứng dụng / Dữ liệu khác về hiệu suất của ứng dụng
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,,MULTIPLE_CHOICE,Tệp và tài liệu / Tệp và tài liệu
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,,MULTIPLE_CHOICE,Hoạt động trong ứng dụng / Tương tác với ứng dụng
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,,MULTIPLE_CHOICE,Hoạt động trong ứng dụng / Nhật ký tìm kiếm trong ứng dụng
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,,MULTIPLE_CHOICE,Hoạt động trong ứng dụng / Ứng dụng đã cài đặt
